model_name,dataset_name,midi_filename,duration_seconds,reference_midi_instruments,transcription_midi_instruments,precision,recall,f_measure,average_overlap_ratio,precision_no_offset,recall_no_offset,f_measure_no_offset,average_overlap_ratio_no_offset,onset_precision,onset_recall,onset_f_measure,offset_precision,offset_recall,offset_f_measure,runtime
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_05_R1_2015_wav--4.wav,156.23229,1,1,0.01247,0.008042,0.009778,0.558653,0.025899,0.016703,0.020308,0.351451,0.653237,0.421281,0.512223,0.668106,0.430869,0.523881,39.576533
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_18_R1_2015_wav--2.wav,211.989569,1,1,0.906457,0.890195,0.898252,0.82145,0.99874,0.980823,0.9897,0.792482,0.99937,0.981441,0.990325,0.938898,0.922054,0.9304,40.814659
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--1.wav,218.888549,1,1,0.013393,0.013593,0.013492,0.582949,0.025,0.025374,0.025186,0.424135,0.491964,0.49932,0.495615,0.538839,0.546896,0.542838,32.100825
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_01_R1_2015_wav--3.wav,229.684376,1,1,0.960874,0.956955,0.95891,0.913711,1.0,0.995922,0.997957,0.897479,1.0,0.995922,0.997957,0.968608,0.964658,0.966629,32.79071
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_07_R2_2015_wav--3.wav,394.055215,1,1,0.854011,0.845421,0.849694,0.863716,0.999198,0.989148,0.994147,0.818817,0.999465,0.989412,0.994413,0.891444,0.882478,0.886938,45.249432
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_12_R1_2015_wav--4.wav,105.318753,1,1,0.905405,0.871918,0.888346,0.806659,1.0,0.963014,0.981158,0.778981,1.0,0.963014,0.981158,0.940967,0.906164,0.923238,21.806375
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_16_R1_2015_wav--3.wav,292.512494,1,1,0.872122,0.856139,0.864057,0.834405,0.999067,0.980757,0.989827,0.789488,0.999378,0.981063,0.990136,0.910392,0.893708,0.901973,26.815969
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_08_R2_2015_wav--3.wav,420.33229,1,1,0.889601,0.878185,0.883856,0.849564,0.998535,0.985722,0.992087,0.809501,0.998535,0.985722,0.992087,0.927499,0.915597,0.92151,36.307377
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--6.wav,279.997914,1,1,0.941118,0.919063,0.92996,0.80571,0.998268,0.974873,0.986432,0.783205,0.998516,0.975115,0.986676,0.954478,0.932109,0.943161,37.499234
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_07_R1_2015_wav--3.wav,140.58542,1,1,0.900147,0.890557,0.895326,0.828278,0.999511,0.988862,0.994158,0.797728,0.999511,0.988862,0.994158,0.938815,0.928814,0.933788,20.532724
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_04_R1_2015_wav--2.wav,301.002086,1,1,0.949178,0.946286,0.94773,0.917066,0.999618,0.996571,0.998092,0.895403,0.999618,0.996571,0.998092,0.967138,0.96419,0.965662,28.850807
Transkun_AMT,Maestro 2015,MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_22_R1_2015_wav--5.wav,336.430181,1,1,0.907514,0.889619,0.898478,0.81561,0.995376,0.975748,0.985464,0.778734,0.995838,0.976201,0.985922,0.929711,0.911378,0.920453,28.52553
